File,Average,Min,Max,Variance,Median,0,1,2,4,8,16,32,64,128,256,512,1K,2K,4K,8K,16K,32K,64K,128K,256K,512K,>512K
A42.csv,65486.8074714042,0,154114,1560380249.72662,73544,1127,246,77,574,79261,138003,70701,60607,104420,160848,80518,66372,68399,54804,45991,46548,181995,1013753,2746811,12529,0,0
A129.csv,235256.84283759398,0,2973720,211744451523.40466,25003.0,33570,31859,36949,16762,48780,180865,559419,714568,656727,533946,307094,258043,282024,461484,485149,417581,2760648,752516,939909,1632888,1839626,1762889
A108.csv,324007.16504733864,0,1656075,57832740808.20567,409722.0,17841,15282,8173,7333,20316,105602,214345,499300,501887,567200,261887,227522,336993,240031,347200,306742,494339,447099,658565,1612585,9176992,2479554
A669.csv,7292.395853076883,0,178209,391219505.1915957,3153.0,513,131,69,170,8262,14346,21776,29490,160389,188223,129981,479616,3690084,13824218,5948409,1371647,196362,315843,284963,401310,0,0
